Male,Female,Total_Beneficiaries,# of HHs,State,TS,TS_PCODE,Total_amount
0,0,0,0,,Myaungmya,MMR017014,0
0,0,0,0,,Myawaddy,MMR003005,0
0,0,0,0,,Myeik,MMR006005,0
0,0,0,0,,Myingyan,MMR010017,0
0,0,0,0,,Myittha,MMR010015,0
0,0,0,0,,Myothit,MMR009005,0
0,0,0,0,,Namhsan,MMR015016,0
0,0,0,0,,Namphan,MMR015006,0
0,0,0,0,,Nansang,MMR014013,0
0,0,0,0,,Nanyun,MMR005037,0
0,0,0,0,,Natogyi,MMR010019,0
0,0,0,0,,Nattalin,MMR008012,0
0,0,0,0,,Nawnghkio,MMR015013,0
0,0,0,0,,Nawngmun,MMR001017,0
0,0,0,0,,Ngape,MMR009009,0
0,0,0,0,,Ngapudaw,MMR017004,0
0,0,0,0,,Ngazun,MMR010021,0
0,0,0,0,,North Okkalapa,MMR013012,0
0,0,0,0,,Nyaungdon,MMR017021,0
0,0,0,0,,Nyaunglebin,MMR007005,0
0,0,0,0,,Nyaung-U,MMR010022,0
0,0,0,0,,Oke Ta Ra Thi Ri,MMR018008,0
0,0,0,0,,Okpho,MMR008010,0
0,0,0,0,,Oktwin,MMR007013,0
0,0,0,0,,Pabedan,MMR013034,0
0,0,0,0,,Padaung,MMR008003,0
0,0,0,0,,Palaw,MMR006007,0
0,0,0,0,,Pale,MMR005019,0
0,0,0,0,,Paletwa,MMR004009,0
0,0,0,0,,Pangsang,MMR015005,0
0,0,0,0,,Pangwaun,MMR015007,0
0,0,0,0,,Pantanaw,MMR017020,0
0,0,0,0,,Patheingyi,MMR010007,0
0,0,0,0,,Pauk,MMR009021,0
0,0,0,0,,Paukkhaung,MMR008002,0
0,0,0,0,,Paung,MMR011008,0
0,0,0,0,,Paungbyin,MMR005032,0
0,0,0,0,,Paungde,MMR008004,0
0,0,0,0,,Pazundaung,MMR013016,0
0,0,0,0,,Pekon,MMR014010,0
0,0,0,0,,Phyu,MMR007012,0
0,0,0,0,,Pindaya,MMR014006,0
0,0,0,0,,Pinlaung,MMR014009,0
0,0,0,0,,Pinlebu,MMR005026,0
0,0,0,0,,Poke Ba Thi Ri,MMR018005,0
0,0,0,0,,Pyapon,MMR017023,0
0,0,0,0,,Pyawbwe,MMR010024,0
0,0,0,0,,Pyay,MMR008001,0
0,0,0,0,,Pyigyitagon,MMR010005,0
0,0,0,0,,Pyinmana,MMR018006,0
0,0,0,0,,Pyinoolwin,MMR010008,0
0,0,0,0,,Ramree,MMR012013,0
0,0,0,0,,Rathedaung,MMR012008,0
0,0,0,0,,Sagaing,MMR005001,0
0,0,0,0,,Salin,MMR009010,0
0,0,0,0,,Sanchaung,MMR013039,0
0,0,0,0,,Saw,MMR009025,0
0,0,0,0,,Seikgyikanaungto,MMR013031,0
0,0,0,0,,Seikkan,MMR013045,0
0,0,0,0,,Seikphyu,MMR009022,0
0,0,0,0,,Shwebo,MMR005004,0
0,0,0,0,,Shwedaung,MMR008006,0
0,0,0,0,,Shwegyin,MMR007008,0
0,0,0,0,,Sinbaungwe,MMR009017,0
0,0,0,0,,Singu,MMR010010,0
0,0,0,0,,Sintgaing,MMR010014,0
0,0,0,0,,South Okkalapa,MMR013011,0
0,0,0,0,,Sumprabum,MMR001015,0
0,0,0,0,,Tabayin,MMR005010,0
